Vernier Format 2
wan.txt 8/29/2025 15:39:43
Run 1
Time	Position	Velocity	Acceleration	Position	Velocity	Acceleration	
0.86	0.179	-0.065	0.649	0.274	0.086	0.339	
0.88	0.178	-0.052	0.910	0.278	0.043	0.666	
0.90	0.177	-0.032	1.249	0.273	0.094	1.396	
0.92	0.176	0.010	0.994	0.281	0.152	-0.171	
0.94	0.178	0.023	0.036	0.282	0.095	-1.922	
0.96	0.178	0.001	-0.459	0.286	0.015	-1.332	
0.98	0.178	-0.009	-0.273	0.280	0.033	-0.312	
1.00	0.177	-0.012	0.084	0.287	0.075	-1.961	
1.02	0.177	-0.003	0.265	0.288	-0.077	-2.172	
1.04	0.177	0.007	0.030	0.281	-0.099	1.039	
1.06	0.178	0.005	-0.425	0.280	0.016	1.967	
1.08	0.178	-0.023	-0.266	0.283	0.067	-0.833	
1.10	0.176	-0.023	0.675	0.286	-0.028	-3.330	
1.12	0.176	0.013	1.226	0.282	-0.146	-2.351	
1.14	0.177	0.040	1.119	0.278	-0.142	-0.043	
1.16	0.178	0.061	0.792	0.276	-0.112	0.843	
1.18	0.179	0.071	0.466	0.274	-0.112	1.425	
1.20	0.181	0.076	0.305	0.269	-0.009	0.110	
1.22	0.182	0.080	0.304	0.279	-0.099	-1.501	
1.24	0.184	0.087	0.376	0.265	-0.180	1.116	
1.26	0.186	0.098	0.343	0.264	0.017	0.897	
1.28	0.188	0.100	0.339	0.272	-0.043	-3.063	
1.30	0.190	0.110	0.356	0.266	-0.252	-1.172	
1.32	0.193	0.118	0.184	0.254	-0.134	2.313	
1.34	0.195	0.117	-0.005	0.261	-0.018	0.246	
1.36	0.197	0.119	-0.149	0.258	-0.101	-2.846	
1.38	0.200	0.114	-0.260	0.258	-0.251	-1.328	
1.40	0.202	0.084	0.637	0.242	-0.165	0.917	
1.42	0.201	0.135	1.611	0.252	-0.111	-0.721	
1.44	0.208	0.191	0.737	0.243	-0.242	-0.608	
1.46	0.211	0.165	-0.248	0.238	-0.199	1.741	
1.48	0.214	0.158	-0.319	0.233	-0.083	0.543	
1.50	0.217	0.153	-0.270	0.239	-0.137	-2.146	
1.52	0.220	0.149	-0.184	0.229	-0.261	-1.031	
1.54	0.223	0.144	-0.051	0.225	-0.226	2.074	
1.56	0.226	0.144	0.182	0.218	-0.106	2.090	
1.58	0.228	0.155	0.208	0.223	-0.070	-1.123	
1.60	0.232	0.160	-0.106	0.218	-0.182	-2.957	
1.62	0.235	0.151	-0.442	0.215	-0.268	-1.084	
1.64	0.238	0.137	-0.520	0.206	-0.257	2.289	
1.66	0.240	0.128	-0.384	0.202	-0.123	3.279	
1.68	0.243	0.107	0.348	0.202	-0.050	0.738	
1.70	0.243	0.144	0.900	0.203	-0.118	-1.070	
1.72	0.249	0.176	0.019	0.196	-0.137	-0.835	
1.74	0.252	0.143	-0.898	0.198	-0.145	-0.453	
1.76	0.254	0.123	-1.040	0.191	-0.180	1.002	
1.78	0.257	0.103	-1.032	0.188	-0.098	2.022	
1.80	0.259	0.060	-0.055	0.188	-0.056	1.178	
1.82	0.257	0.104	0.701	0.187	-0.062	0.610	
1.84	0.264	0.120	0.075	0.185	-0.040	0.287	
1.86	0.263	0.102	-0.356	0.185	-0.038	-0.402	
1.88	0.268	0.088	-0.117	0.184	-0.068	-0.436	
1.90	0.266	0.090	0.402	0.182	-0.074	0.362	
1.92	0.271	0.129	-0.120	0.181	-0.055	1.199	
1.94	0.273	0.095	-1.036	0.179	-0.006	1.117	
1.96	0.274	0.061	-0.863	0.181	0.010	0.091	
1.98	0.275	0.055	-0.403	0.181	-0.017	-0.327	
2.00	0.276	0.058	-0.394	0.180	-0.020	0.015	
2.02	0.277	0.043	-0.599	0.180	-0.012	0.236	
2.04	0.278	0.028	-0.599	0.179	-0.005	0.247	
2.06	0.278	0.016	-0.454	0.179	-0.001	0.192	
2.08	0.279	0.011	-0.358	0.179	0.001	0.204	
2.10	0.279	0.005	-0.403	0.179	0.005	0.260	
2.12	0.279	-0.003	-0.522	0.179	0.015	0.146	
2.14	0.279	-0.016	-0.624	0.180	0.019	-0.249	
2.16	0.278	-0.034	-0.458	0.181	-0.006	-0.118	
2.18	0.277	-0.037	-0.201	0.179	-0.004	0.786	
2.20	0.277	-0.035	-0.237	0.180	0.037	1.185	
2.22	0.276	-0.043	-0.424	0.181	0.062	0.715	
2.24	0.275	-0.054	-0.576	0.183	0.066	0.123	
2.26	0.274	-0.068	-0.610	0.184	0.062	-0.175	
2.28	0.272	-0.082	-0.461	0.186	0.046	0.207	
2.30	0.270	-0.088	-0.273	0.185	0.060	0.961	
2.32	0.269	-0.089	-0.260	0.187	0.097	1.043	
2.34	0.267	-0.096	-0.373	0.189	0.139	-0.446	
2.36	0.265	-0.105	-0.449	0.195	0.073	-1.495	
2.38	0.263	-0.116	-0.384	0.192	0.016	0.298	
2.40	0.260	-0.122	-0.224	0.194	0.066	2.822	
2.42	0.258	-0.123	-0.197	0.193	0.183	2.882	
2.44	0.255	-0.128	-0.300	0.202	0.245	0.027	
2.46	0.253	-0.132	-0.570	0.206	0.150	-1.565	
2.48	0.250	-0.148	-0.837	0.206	0.139	-1.039	
2.50	0.247	-0.170	-0.735	0.212	0.118	-0.474	
2.52	0.244	-0.205	0.483	0.211	0.085	1.444	
2.54	0.237	-0.147	1.434	0.212	0.200	2.076	
2.56	0.238	-0.097	0.219	0.221	0.242	-0.376	
2.58	0.235	-0.146	-0.746	0.225	0.146	-1.342	
2.60	0.231	-0.159	-0.406	0.225	0.130	0.067	
2.62	0.228	-0.159	-0.043	0.228	0.191	0.025	
2.64	0.225	-0.154	0.110	0.235	0.154	-0.826	
2.66	0.222	-0.150	-0.011	0.234	0.111	0.060	
2.68	0.219	-0.155	-0.141	0.237	0.155	0.915	
2.70	0.216	-0.160	-0.083	0.241	0.193	0.004	
2.72	0.213	-0.160	0.087	0.247	0.155	-0.847	
2.74	0.210	-0.155	0.198	0.247	0.113	0.137	
2.76	0.206	-0.150	0.204	0.249	0.153	1.288	
2.78	0.204	-0.146	0.167	0.252	0.225	-0.108	
2.80	0.201	-0.143	0.128	0.261	0.177	-2.571	
2.82	0.198	-0.143	0.186	0.261	0.050	-1.881	
2.84	0.195	-0.138	0.334	0.260	0.053	0.926	
2.86	0.192	-0.127	0.367	0.262	0.136	1.654	
2.88	0.190	-0.121	0.289	0.267	0.174	-0.170	
2.90	0.187	-0.116	0.244	0.270	0.120	-1.775	
2.92	0.185	-0.113	0.306	0.271	0.066	-1.700	
2.94	0.183	-0.106	0.463	0.273	0.036	-0.747	
2.96	0.181	-0.095	0.677	0.272	0.050	-0.174	
2.98	0.179	-0.081	0.990	0.275	0.041	-0.194	
3.00	0.178	-0.059	1.345	0.274	0.023	0.364	
3.02	0.176	-0.014	1.096	0.274	0.078	-0.034	
3.04	0.178	-0.003	0.346	0.279	0.043	-1.266	
3.06	0.177	-0.017	0.268	0.276	-0.012	-0.891	
3.08	0.176	-0.003	0.649	0.277	0.003	-0.215	
3.10	0.176	0.024	0.444	0.277	0.000	-0.273	
3.12	0.178	0.027	-0.272	0.277	-0.030	0.502	
3.14	0.178	0.000	-0.481	0.274	0.029	0.839	
3.16	0.177	-0.005	-0.165	0.280	0.018	0.427	
3.18	0.177	0.002	-0.131	0.274	0.044	-0.044	
3.20	0.178	-0.001	-0.418	0.282	0.050	-1.948	
3.22	0.178	-0.025	-0.255	0.278	-0.061	-2.632	
3.24	0.176	-0.025	0.464	0.278	-0.078	-2.128	
3.26	0.176	0.004	0.722	0.276	-0.143	-1.409	
3.28	0.177	0.021	0.280	0.271	-0.168	0.766	
3.30	0.178	0.004	0.297	0.268	-0.099	2.087	
3.32	0.176	0.015	1.077	0.268	-0.037	1.167	
3.34	0.178	0.059	1.369	0.267	-0.029	-0.802	
3.36	0.179	0.083	1.058	0.268	-0.101	-1.415	
3.38	0.181	0.100	0.705	0.262	-0.134	0.021	
3.40	0.183	0.108	0.453	0.261	-0.067	0.170	
3.42	0.185	0.117	0.300	0.262	-0.080	-1.581	
3.44	0.188	0.120	0.208	0.259	-0.170	-1.617	
3.46	0.190	0.122	0.261	0.253	-0.184	0.016	
3.48	0.193	0.129	0.307	0.251	-0.160	1.280	
3.50	0.195	0.140	0.174	0.246	-0.087	0.587	
3.52	0.199	0.142	-0.126	0.250	-0.129	-0.669	
3.54	0.202	0.114	0.429	0.240	-0.152	-0.309	
3.56	0.202	0.152	1.224	0.243	-0.117	-0.735	
3.58	0.208	0.195	0.627	0.238	-0.208	-0.054	
3.60	0.211	0.179	-0.093	0.230	-0.129	0.924	
3.62	0.214	0.176	-0.202	0.234	-0.114	-0.457	
3.64	0.218	0.170	-0.195	0.228	-0.172	-0.840	
3.66	0.221	0.166	-0.057	0.226	-0.163	-0.598	
3.68	0.224	0.168	0.047	0.222	-0.198	-0.097	
3.70	0.228	0.172	-0.025	0.216	-0.166	0.442	
3.72	0.231	0.169	-0.236	0.216	-0.165	0.346	
3.74	0.235	0.164	-0.470	0.210	-0.179	1.160	
3.76	0.238	0.150	-0.566	0.207	-0.107	1.310	
3.78	0.241	0.119	0.264	0.207	-0.074	-0.490	
3.80	0.241	0.159	1.080	0.207	-0.160	-0.948	
3.82	0.247	0.200	0.291	0.199	-0.185	1.385	
3.84	0.251	0.172	-0.628	0.195	-0.030	0.829	
3.86	0.254	0.154	-0.712	0.203	-0.093	-1.986	
3.88	0.257	0.140	-0.514	0.193	-0.219	-0.391	
3.90	0.259	0.134	-0.282	0.189	-0.128	2.119	
3.92	0.262	0.132	-0.237	0.189	-0.060	1.682	
3.94	0.265	0.127	-0.332	0.188	-0.058	0.811	
3.96	0.267	0.120	-0.490	0.186	-0.042	0.348	
3.98	0.270	0.105	-0.522	0.187	-0.041	-0.044	
4.00	0.271	0.095	-0.361	0.185	-0.056	0.179	
4.02	0.273	0.093	-0.283	0.184	-0.041	0.642	
4.04	0.275	0.088	-0.392	0.183	-0.017	0.537	
4.06	0.277	0.078	-0.556	0.184	-0.008	-0.096	
4.08	0.279	0.062	-0.583	0.183	-0.028	-0.448	
4.10	0.279	0.051	-0.432	0.182	-0.039	-0.183	
4.12	0.280	0.046	-0.340	0.181	-0.035	0.149	
4.14	0.281	0.041	-0.418	0.181	-0.029	0.333	
4.16	0.282	0.031	-0.579	0.180	-0.020	0.423	
4.18	0.283	0.016	-0.669	0.180	-0.010	0.418	
4.20	0.283	0.000	-0.564	0.180	-0.004	0.396	
4.22	0.282	-0.007	-0.411	0.180	0.005	0.407	
4.24	0.282	-0.012	-0.438	0.180	0.013	0.409	
4.26	0.282	-0.023	-0.563	0.180	0.021	0.397	
4.28	0.282	-0.036	-0.629	0.181	0.029	0.351	
4.30	0.281	-0.051	-0.537	0.181	0.035	0.294	
4.32	0.279	-0.059	-0.376	0.182	0.042	0.183	
4.34	0.278	-0.063	-0.366	0.183	0.042	0.044	
4.36	0.277	-0.072	-0.429	0.184	0.044	-0.111	
4.38	0.275	-0.080	-0.494	0.185	0.046	-0.561	
4.40	0.274	-0.093	-0.496	0.186	0.012	-0.522	
4.42	0.272	-0.103	-0.379	0.185	0.007	0.377	
4.44	0.270	-0.106	-0.387	0.186	0.030	1.103	
4.46	0.268	-0.113	-0.719	0.186	0.059	1.400	
4.48	0.265	-0.131	-1.085	0.188	0.115	0.497	
4.50	0.263	-0.156	-1.223	0.193	0.068	0.015	
4.52	0.260	-0.223	0.382	0.189	0.078	1.052	
4.54	0.250	-0.146	2.020	0.195	0.138	0.952	
4.56	0.254	-0.064	0.363	0.196	0.133	0.158	
4.58	0.251	-0.131	-1.360	0.200	0.137	-0.369	
4.60	0.248	-0.178	-0.680	0.203	0.100	-0.110	
4.62	0.243	-0.163	0.380	0.202	0.127	0.496	
4.64	0.242	-0.130	0.186	0.208	0.148	-0.026	
4.66	0.239	-0.150	-0.368	0.210	0.104	0.292	
4.68	0.235	-0.159	-0.382	0.210	0.153	0.783	
4.70	0.232	-0.166	-0.304	0.217	0.162	0.176	
4.72	0.229	-0.172	-0.135	0.217	0.155	-0.095	
4.74	0.225	-0.172	0.079	0.223	0.147	0.084	
4.76	0.222	-0.166	0.167	0.223	0.132	1.251	
4.78	0.218	-0.165	0.179	0.226	0.234	0.899	
4.80	0.215	-0.159	0.165	0.235	0.201	-0.797	
4.82	0.212	-0.155	0.027	0.234	0.140	-0.114	
4.84	0.209	-0.160	-0.013	0.238	0.204	0.267	
4.86	0.206	-0.159	0.110	0.244	0.201	-1.254	
4.88	0.203	-0.157	0.312	0.248	0.117	-1.230	
4.90	0.199	-0.145	0.453	0.247	0.130	-0.243	
4.92	0.197	-0.133	0.312	0.254	0.111	0.646	
4.94	0.194	-0.134	0.209	0.250	0.173	0.616	
4.96	0.191	-0.130	0.323	0.262	0.169	-0.988	
4.98	0.189	-0.120	0.405	0.257	0.124	-1.985	
5.00	0.187	-0.110	0.349	0.267	0.061	-1.540	
5.02	0.185	-0.105	0.257	0.259	0.013	1.070	
5.04	0.182	-0.104	0.363	0.264	0.134	2.290	
5.06	0.180	-0.095	0.732	0.267	0.167	0.664	
5.08	0.179	-0.076	1.183	0.272	0.156	-1.045	
5.10	0.177	-0.047	1.494	0.274	0.102	-1.764	
5.12	0.176	-0.000	1.039	0.275	0.069	-1.527	
5.14	0.178	0.007	0.082	0.276	0.041	-1.150	
5.16	0.177	-0.018	0.015	0.277	0.030	-0.947	
5.18	0.176	-0.010	0.659	0.278	-0.006	-0.288	
5.20	0.176	0.025	0.626	0.276	0.002	0.886	
5.22	0.178	0.032	-0.135	0.277	0.047	1.207	
5.24	0.178	0.010	-0.567	0.278	0.096	-0.359	
5.26	0.178	0.000	-0.563	0.284	0.005	-1.000	
5.28	0.178	-0.009	-0.528	0.275	0.020	-0.111	
5.30	0.178	-0.029	-0.109	0.285	0.055	-1.301	
5.32	0.176	-0.022	0.592	0.281	-0.066	-1.161	
5.34	0.176	0.010	0.614	0.277	0.002	-0.739	
5.36	0.177	0.018	0.025	0.284	-0.053	-1.793	
5.38	0.178	-0.007	0.196	0.276	-0.131	-0.339	
5.40	0.176	0.007	1.160	0.275	-0.073	1.230	
5.42	0.178	0.056	1.427	0.274	-0.020	0.273	
5.44	0.179	0.080	0.957	0.277	-0.059	-1.050	
5.46	0.181	0.091	0.523	0.271	-0.094	-1.104	
5.48	0.183	0.094	0.378	0.272	-0.100	-0.893	
5.50	0.185	0.103	0.427	0.268	-0.140	-0.081	
5.52	0.187	0.114	0.389	0.265	-0.134	1.609	
5.54	0.189	0.120	0.300	0.260	-0.020	0.824	
5.56	0.192	0.126	0.205	0.268	-0.032	-2.641	
5.58	0.194	0.126	0.200	0.263	-0.221	-2.188	
5.60	0.197	0.131	0.304	0.253	-0.185	1.052	
5.62	0.199	0.140	0.330	0.254	-0.086	0.663	
5.64	0.202	0.147	0.219	0.254	-0.133	-0.948	
5.66	0.205	0.149	0.084	0.248	-0.175	-0.688	
5.68	0.208	0.149	0.024	0.245	-0.162	-0.229	
5.70	0.211	0.148	0.070	0.242	-0.165	-0.324	
5.72	0.214	0.151	0.158	0.239	-0.181	-0.181	
5.74	0.217	0.157	0.138	0.235	-0.200	0.985	
5.76	0.221	0.158	0.035	0.229	-0.120	1.233	
5.78	0.224	0.159	-0.095	0.232	-0.112	-0.214	
5.80	0.227	0.152	-0.119	0.226	-0.161	-0.519	
5.82	0.230	0.150	0.022	0.223	-0.129	-0.843	
5.84	0.233	0.156	0.051	0.223	-0.181	-1.471	
5.86	0.236	0.156	-0.098	0.216	-0.243	0.167	
5.88	0.239	0.152	-0.255	0.209	-0.154	1.056	
5.90	0.242	0.143	-0.276	0.213	-0.161	0.301	
5.92	0.245	0.137	-0.139	0.203	-0.187	1.127	
5.94	0.248	0.140	-0.095	0.202	-0.087	0.669	
5.96	0.251	0.138	-0.233	0.203	-0.131	-0.824	
5.98	0.253	0.130	-0.366	0.197	-0.169	-0.245	
6.00	0.256	0.118	-0.280	0.195	-0.151	0.805	
6.02	0.258	0.117	-0.107	0.191	-0.125	1.408	
6.04	0.261	0.119	-0.159	0.189	-0.076	1.134	
6.06	0.263	0.112	-0.315	0.189	-0.071	0.439	
6.08	0.265	0.106	-0.471	0.187	-0.080	0.542	
6.10	0.267	0.096	-0.714	0.185	-0.047	0.537	
6.12	0.269	0.076	-0.826	0.186	-0.041	-0.086	
6.14	0.270	0.059	-0.679	0.184	-0.063	-0.147	
6.16	0.272	0.031	0.178	0.182	-0.059	0.329	
6.18	0.270	0.069	0.816	0.181	-0.051	0.876	
6.20	0.275	0.101	-0.147	0.180	-0.013	0.885	
6.22	0.276	0.057	-0.917	0.181	0.001	0.131	
6.24	0.276	0.041	-0.707	0.181	-0.019	-0.126	
6.26	0.277	0.032	-0.506	0.180	-0.020	0.345	
6.28	0.277	0.025	-0.453	0.179	-0.004	0.785	
6.30	0.278	0.016	-0.519	0.179	0.027	0.476	
6.32	0.278	0.004	-0.556	0.181	0.028	-0.433	
6.34	0.278	-0.009	-0.468	0.181	0.000	-0.873	
6.36	0.278	-0.016	-0.343	0.181	-0.027	-0.385	
6.38	0.277	-0.020	-0.354	0.179	-0.023	0.458	
6.40	0.277	-0.029	-0.426	0.180	0.008	0.588	
6.42	0.276	-0.037	-0.492	0.180	0.017	0.018	
6.44	0.276	-0.050	-0.486	0.181	-0.007	0.085	
6.46	0.274	-0.060	-0.343	0.179	0.001	0.977	
6.48	0.273	-0.062	-0.286	0.180	0.047	1.248	
6.50	0.272	-0.067	-0.395	0.182	0.069	0.685	
6.52	0.270	-0.078	-0.484	0.183	0.071	0.147	
6.54	0.269	-0.091	-0.409	0.185	0.073	-0.279	
6.56	0.267	-0.096	-0.250	0.187	0.054	-0.381	
6.58	0.265	-0.097	-0.219	0.186	0.047	-0.056	
6.60	0.263	-0.103	-0.286	0.188	0.065	-0.193	
6.62	0.261	-0.110	-0.321	0.190	0.044	-0.343	
6.64	0.258	-0.115	-0.367	0.190	0.018	1.073	
6.66	0.256	-0.126	-0.346	0.189	0.068	3.090	
6.68	0.253	-0.132	-0.185	0.191	0.169	3.587	
6.70	0.251	-0.130	-0.146	0.195	0.294	0.539	
6.72	0.248	-0.137	-0.153	0.209	0.182	-2.151	
6.74	0.245	-0.138	-0.109	0.202	0.103	-0.446	
6.76	0.243	-0.140	-0.141	0.209	0.186	0.633	
6.78	0.240	-0.146	-0.089	0.211	0.187	-0.441	
6.80	0.237	-0.143	-0.053	0.218	0.137	-0.490	
6.82	0.234	-0.145	-0.124	0.215	0.131	0.868	
6.84	0.231	-0.147	-0.227	0.221	0.221	0.343	
6.86	0.228	-0.157	-0.192	0.228	0.149	-0.466	
6.88	0.225	-0.163	0.180	0.225	0.163	0.333	
6.90	0.221	-0.146	0.388	0.234	0.190	0.062	
6.92	0.219	-0.137	0.144	0.234	0.148	0.479	
6.94	0.216	-0.142	-0.062	0.237	0.220	0.316	
6.96	0.213	-0.143	-0.087	0.245	0.188	-0.950	
6.98	0.210	-0.147	0.009	0.245	0.151	-0.825	
7.00	0.207	-0.146	0.216	0.250	0.148	-0.346	
7.02	0.204	-0.136	0.279	0.251	0.133	0.220	
7.04	0.202	-0.131	0.180	0.254	0.181	-0.293	
7.06	0.199	-0.129	0.107	0.260	0.155	-2.039	
7.08	0.197	-0.130	0.175	0.263	0.038	-1.144	
7.10	0.194	-0.124	0.312	0.258	0.071	1.285	
7.12	0.192	-0.116	0.373	0.264	0.152	1.174	
7.14	0.189	-0.107	0.350	0.267	0.153	-0.552	
7.16	0.187	-0.099	0.235	0.272	0.080	-0.549	
7.18	0.186	-0.100	0.215	0.267	0.130	-0.384	
7.20	0.183	-0.095	0.381	0.279	0.114	-2.003	
7.22	0.182	-0.083	0.510	0.274	-0.000	-1.447	
7.24	0.180	-0.073	0.636	0.275	0.027	0.482	
7.26	0.179	-0.061	0.892	0.275	0.040	1.639	
7.28	0.178	-0.042	1.229	0.276	0.092	2.416	
7.30	0.176	-0.001	1.020	0.278	0.181	0.951	
7.32	0.178	0.015	0.123	0.286	0.164	-1.966	
7.34	0.178	-0.005	-0.385	0.286	0.056	-2.874	
7.36	0.178	-0.015	-0.226	0.286	0.013	-2.126	
7.38	0.177	-0.014	0.046	0.286	-0.008	-2.026	
7.40	0.177	-0.011	0.264	0.287	-0.044	-2.725	
7.42	0.176	-0.004	0.444	0.286	-0.151	-1.955	
7.44	0.177	0.011	0.360	0.279	-0.168	0.687	
7.46	0.177	0.018	-0.074	0.277	-0.078	1.475	
7.48	0.178	0.011	-0.546	0.277	-0.065	0.380	
7.50	0.178	-0.020	-0.236	0.276	-0.104	0.622	
7.52	0.176	-0.016	0.861	0.271	-0.051	1.138	
7.54	0.176	0.028	1.391	0.274	0.003	-0.801	
7.56	0.178	0.057	1.092	0.274	-0.084	-2.605	
7.58	0.179	0.071	0.671	0.270	-0.161	-1.576	
7.60	0.181	0.080	0.409	0.267	-0.176	0.847	
7.62	0.182	0.084	0.371	0.262	-0.130	3.131	
7.64	0.184	0.092	0.454	0.259	0.035	1.406	
7.66	0.186	0.104	0.440	0.268	-0.027	-2.506	
7.68	0.188	0.111	0.342	0.258	-0.132	-3.401	
7.70	0.190	0.118	0.245	0.262	-0.206	-2.034	
7.72	0.193	0.120	0.206	0.249	-0.240	0.783	
7.74	0.195	0.123	0.293	0.250	-0.138	1.878	
7.76	0.198	0.132	0.356	0.246	-0.128	1.011	
7.78	0.200	0.140	0.291	0.244	-0.088	-0.384	
7.80	0.203	0.146	0.128	0.245	-0.144	-1.588	
7.82	0.206	0.145	-0.033	0.238	-0.218	-0.048	
7.84	0.209	0.144	-0.103	0.232	-0.131	0.887	
7.86	0.212	0.143	-0.168	0.235	-0.106	-1.129	
7.88	0.215	0.120	0.462	0.231	-0.228	-1.116	
7.90	0.216	0.160	1.082	0.222	-0.202	0.926	
7.92	0.222	0.195	0.336	0.222	-0.133	0.689	
7.94	0.225	0.170	-0.303	0.219	-0.156	-0.355	
7.96	0.228	0.165	-0.227	0.216	-0.171	-0.512	
7.98	0.231	0.162	-0.139	0.212	-0.194	0.124	
8.00	0.235	0.162	-0.115	0.206	-0.163	0.714	
8.02	0.238	0.160	-0.198	0.206	-0.133	-0.050	
8.04	0.241	0.152	-0.204	0.203	-0.184	-0.106	
8.06	0.244	0.149	-0.092	0.197	-0.152	0.499	
8.08	0.247	0.151	-0.076	0.198	-0.146	0.517	
8.10	0.250	0.147	-0.142	0.191	-0.155	1.438	
8.12	0.253	0.146	-0.251	0.189	-0.076	1.699	
8.14	0.256	0.137	-0.372	0.190	-0.057	0.751	
8.16	0.258	0.129	-0.463	0.188	-0.068	0.658	
8.18	0.261	0.123	-0.675	0.186	-0.040	0.906	
8.20	0.264	0.106	-0.910	0.186	-0.017	0.564	
8.22	0.266	0.061	-0.142	0.186	-0.009	-0.170	
8.24	0.264	0.101	0.615	0.186	-0.027	-0.742	
8.26	0.270	0.126	-0.229	0.185	-0.056	-0.494	
8.28	0.271	0.066	-0.156	0.183	-0.050	-0.010	
8.30	0.271	0.104	0.467	0.183	-0.047	0.108	
8.32	0.276	0.123	-0.437	0.182	-0.048	0.267	
8.34	0.277	0.082	-1.157	0.181	-0.037	0.408	
8.36	0.278	0.055	-0.978	0.180	-0.029	0.440	
8.38	0.279	0.042	-0.615	0.179	-0.020	0.464	
8.40	0.280	0.032	-0.290	0.179	-0.008	0.371	
8.42	0.280	0.034	-0.199	0.179	-0.004	0.261	
8.44	0.281	0.033	-0.515	0.179	-0.000	0.267	
8.46	0.282	0.014	-0.908	0.179	0.004	0.396	
8.48	0.282	-0.009	-1.029	0.179	0.015	0.545	
8.50	0.281	-0.029	-0.924	0.180	0.030	0.505	
8.52	0.281	-0.063	-0.103	0.181	0.037	0.343	
8.54	0.277	-0.036	0.728	0.181	0.041	0.234	
8.56	0.280	0.003	-0.011	0.182	0.049	0.012	
8.58	0.279	-0.034	-0.923	0.184	0.043	-0.257	
8.60	0.278	-0.058	-0.849	0.184	0.037	-0.421	
8.62	0.277	-0.069	-0.597	0.185	0.021	-0.262	
8.64	0.275	-0.077	-0.483	0.185	0.018	0.312	
8.66	0.274	-0.085	-0.549	0.186	0.031	0.931	
8.68	0.272	-0.101	-0.582	0.185	0.074	0.767	
8.70	0.269	-0.111	-0.493	0.190	0.072	0.097	
8.72	0.267	-0.120	-0.455	0.188	0.055	0.329	
8.74	0.264	-0.126	-0.498	0.190	0.097	0.203	
8.76	0.262	-0.133	-0.708	0.194	0.061	0.332	
8.78	0.260	-0.178	0.021	0.192	0.077	1.694	
8.80	0.253	-0.141	1.023	0.196	0.143	2.257	
8.82	0.254	-0.096	0.259	0.197	0.222	0.542	
8.84	0.251	-0.130	-0.625	0.208	0.165	-1.319	
8.86	0.249	-0.142	-0.636	0.204	0.106	-0.495	
8.88	0.246	-0.154	-0.555	0.209	0.161	-0.012	
8.90	0.243	-0.166	-0.332	0.213	0.115	0.123	
